热点话题,来源渠道,话题类别,热度指数,热度指数数值,关联地点,优先级,分析,备注
"科技赋能文旅IP点亮盛会——华强方特亮相第二十二届文博会","综合","国际外交","上游产业信号 - 新华网旅游",80,"","中","📡 [上游信号] | 来源: 新华网旅游 | 影响: 政策变化：关注对业务合规和需求的影响 | 类别: 政策签证","📎 新华网旅游 | http://www.news.cn/travel/20260525/11183d27690f4e67903574c6a3835efc/c.html"
"打造生态传播新路径 “秦小卫”数字IP入选新华社品牌工程","综合","国际外交","上游产业信号 - 新华网旅游",80,"","中","📡 [上游信号] | 来源: 新华网旅游 | 影响: 政策变化：关注对业务合规和需求的影响 | 类别: 政策签证","📎 新华网旅游 | http://www.news.cn/travel/20260511/13931220848a4701b1c7cb6be440187f/c.html"
"“创业宜居地 乐游生态城”武安市亮相《300秒看家乡》","综合","国际外交","上游产业信号 - 新华网旅游",80,"","中","📡 [上游信号] | 来源: 新华网旅游 | 影响: 政策变化：关注对业务合规和需求的影响 | 类别: 政策签证","📎 新华网旅游 | http://www.news.cn/travel/20260509/976d3d01f37f4fd4bde5e6faafe12cdc/c.html"
"300秒看家乡︱湖南省怀化市洪江区：千年商城 洪福洪江","综合","国际外交","上游产业信号 - 新华网旅游",80,"","中","📡 [上游信号] | 来源: 新华网旅游 | 影响: 政策变化：关注对业务合规和需求的影响 | 类别: 政策签证","📎 新华网旅游 | http://www.news.cn/travel/20260508/67e0972f33b740db902be33b363f9deb/c.html"
"“书法之乡 养生印江”印江土家族苗族自治县亮相《300秒看家乡》","综合","国际外交","上游产业信号 - 新华网旅游",80,"","中","📡 [上游信号] | 来源: 新华网旅游 | 影响: 政策变化：关注对业务合规和需求的影响 | 类别: 政策签证","📎 新华网旅游 | http://www.news.cn/travel/20260430/66c97658b5b840a38c590860ad74306e/c.html"
"300秒看家乡︱内蒙古自治区锡林郭勒盟乌拉盖管理区：“天边草原”乌拉盖","综合","国际外交","上游产业信号 - 新华网旅游",80,"","中","📡 [上游信号] | 来源: 新华网旅游 | 影响: 政策变化：关注对业务合规和需求的影响 | 类别: 政策签证","📎 新华网旅游 | http://www.news.cn/travel/20260429/8a431f4b88e7408cb79d2cdcfdc64add/c.html"
"“天边草原”乌拉盖亮相《300秒看家乡》","综合","国际外交","上游产业信号 - 新华网旅游",80,"","中","📡 [上游信号] | 来源: 新华网旅游 | 影响: 政策变化：关注对业务合规和需求的影响 | 类别: 政策签证","📎 新华网旅游 | http://www.news.cn/travel/20260424/17121e7b7f574b90af4a608b66186279/c.html"
"300秒看家乡︱四川省雅安市荥经县：千年窑火映古县，绿水青山展新卷","综合","国际外交","上游产业信号 - 新华网旅游",80,"","中","📡 [上游信号] | 来源: 新华网旅游 | 影响: 政策变化：关注对业务合规和需求的影响 | 类别: 政策签证","📎 新华网旅游 | http://www.news.cn/travel/20260417/a139be985f184b61aafb046e66a40d6a/c.html"
"300秒看家乡︱贵州省黔东南苗族侗族自治州镇远县：山水福地·千年镇远","综合","国际外交","上游产业信号 - 新华网旅游",80,"","中","📡 [上游信号] | 来源: 新华网旅游 | 影响: 政策变化：关注对业务合规和需求的影响 | 类别: 政策签证","📎 新华网旅游 | http://www.news.cn/travel/20260413/7fac880269494d7cac4a9fde1fdc4473/c.html"
"江西婺源：一城更新万象生","综合","国际外交","上游产业信号 - 新华网旅游",80,"","中","📡 [上游信号] | 来源: 新华网旅游 | 影响: 政策变化：关注对业务合规和需求的影响 | 类别: 政策签证","📎 新华网旅游 | http://www.news.cn/travel/20260410/d48c1270c697485db481c699bff7db35/c.html"
"新华视点｜透视景区NPC热潮","综合","国际外交","上游产业信号 - 新华网旅游",80,"","中","📡 [上游信号] | 来源: 新华网旅游 | 影响: 政策变化：关注对业务合规和需求的影响 | 类别: 政策签证","📎 新华网旅游 | http://www.news.cn/travel/20260529/920096ca005145ae88ec9d039247c677/c.html"
