镜头编号,文件名,时长(秒),素材类型,画面描述,入点,出点
1,坦桑尼亚狂野海岛_塞伦盖蒂草原全景，角马群奔跑的航拍画面_000000_000559.mp4,359,风景/动物,塞伦盖蒂草原全景，角马群奔跑的航拍画面,00:00:00:00,00:05:59:00
2,坦桑尼亚狂野海岛_角马群在马拉河边集结、徘徊、最后跳入河中的特写_002143_002455.mp4,192,动物,角马群在马拉河边集结、徘徊、最后跳入河中的特写,00:21:43:00,00:24:55:00
3,坦桑尼亚狂野海岛_鳄鱼在水中潜伏等待、激流奔腾的河面_002143_002455.mp4,192,动物,鳄鱼在水中潜伏等待、激流奔腾的河面,00:21:43:00,00:24:55:00
4,坦桑尼亚狂野海岛_Safari越野车内视角，乘客兴奋张望、摄影师举着长焦镜头_000000_000559.mp4,359,人物,Safari越野车内视角，乘客兴奋张望、摄影师举着长焦镜头,00:00:00:00,00:05:59:00
5,坦桑尼亚狂野海岛_乞力马扎罗雪山远景（从草原方向看），赤道与雪山同框_002006_002143.mp4,97,风景,乞力马扎罗雪山远景（从草原方向看），赤道与雪山同框,00:20:06:00,00:21:43:00
6,坦桑尼亚狂野海岛_猴面包树特写，象群从树下慢慢走过_000000_000559.mp4,359,动物/风景,猴面包树特写，象群从树下慢慢走过,00:00:00:00,00:05:59:00
7,坦桑尼亚狂野海岛_花豹隐藏在树枝上的特写，望远镜视角_000559_000944.mp4,225,动物,花豹隐藏在树枝上的特写，望远镜视角,00:05:59:00,00:09:44:00
8,坦桑尼亚狂野海岛_恩戈罗恩戈罗火山口全景——从边缘俯瞰碗状地貌_001644_001854.mp4,130,风景,恩戈罗恩戈罗火山口全景——从边缘俯瞰碗状地貌,00:16:44:00,00:18:54:00
9,坦桑尼亚狂野海岛_黑犀牛在火山口底部漫步、斑马群和狮群远影_001644_001854.mp4,130,动物,黑犀牛在火山口底部漫步、斑马群和狮群远影,00:16:44:00,00:18:54:00
10,坦桑尼亚狂野海岛_塞伦盖蒂中部草原上的狮群捕猎休息_000559_000944.mp4,225,动物,塞伦盖蒂中部草原上的狮群捕猎/休息,00:05:59:00,00:09:44:00
11,坦桑尼亚狂野海岛_长焦镜头拍摄的角马渡河瞬间，水花四溅_002143_002455.mp4,192,动物,长焦镜头拍摄的角马渡河瞬间，水花四溅,00:21:43:00,00:24:55:00
15,坦桑尼亚狂野海岛_Safari车上的人看日落，金色时刻_000000_000559.mp4,359,人物/风景,Safari车上的人看日落，金色时刻,00:00:00:00,00:05:59:00
19,坦桑尼亚狂野海岛_越野车奔驰在草原上的跟拍航拍_003145_010043.mp4,1738,转场,越野车奔驰在草原上的跟拍/航拍,00:31:45:00,01:00:43:00
20,坦桑尼亚狂野海岛_穿着卡其色衣服的人在Safari越野车上看动物_000559_000944.mp4,225,人物,穿着卡其色衣服的人在Safari越野车上看动物,00:05:59:00,00:09:44:00
